author,study,subgroup,ESID,publication,grade1,grade2,grade3,student_ability,low,student_language,,girl,boy,missing,black,hispanic,white,asian,native,other,missing2,ses,us,country,english,languageother,ck_measure,specificity,ck_format,ck_re,ck_reliability,ck_reliability_name,ck_normed,comp_type,comp_measure,comp_format,comp_reliability,comp_reliability_name,comp_normed,distal,noalignment,samplesize,corr,table,ckre,compre,ckre2,compre2
"McNeil, 2011",87,87,189,0,13,4,2,1,0,0,,,,,1,0,1,18,0,0,,,1,,1,,Background knowledge questionnaire,1,4,,,,0,RC,short-answer comprehension,1,1,IRR,0,0,0,20,0.24,p.896,,0,0,1
"Mikeska, 2010",89,89,190,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(overall),1,0.743,cohen's kappa,0,0,0,84,0.527,table 5.8,0,0,1,1
"Mikeska, 2010",89,89,191,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(overall),1,0.743,cohen's kappa,0,0,0,84,0.407,,0,0,1,1
"Mikeska, 2010",89,89,192,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(overall),1,0.743,cohen's kappa,0,0,0,84,0.493,,0,0,1,1
"Mikeska, 2010",89,89,193,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(overall),1,0.743,cohen's kappa,0,0,0,84,0.558,,0,0,1,1
"Mikeska, 2010",89,89,194,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(explicit),1,0.743,cohen's kappa,0,0,0,84,0.432,,0,0,1,1
"Mikeska, 2010",89,89,195,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(explicit),1,0.743,cohen's kappa,0,0,0,84,0.213,,0,0,1,1
"Mikeska, 2010",89,89,196,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(explicit),1,0.743,cohen's kappa,0,0,0,84,0.327,,0,0,1,1
"Mikeska, 2010",89,89,197,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(explicit),1,0.743,cohen's kappa,0,0,0,84,0.324,,0,0,1,1
"Mikeska, 2010",89,89,198,1,3,1,0,0,,0,"Twelve students spoke English as a second language, but only four received specialized English for Language Learners (ELL) instructional support at their schools.",44,40,,15,7,59,3,0,0,,,1,,1,,prior knowledge interview,1,1,0.747,0.747,cohen's kappa,0,RC,comprehension questions(implicit),1,0.743,cohen's kappa,0,0,0,84,0.432,,0,0,1,1
